Date,AAPL Open,AAPL High,AAPL Low,AAPL Close,AAPL Adj Close,AAPL Volume,FB Open,FB High,FB Low,FB Close,FB Adj Close,FB Volume,KO Open,KO High,KO Low,KO Close,KO Adj Close,KO Volume,SPOT Open,SPOT High,SPOT Low,SPOT Close,SPOT Adj Close,SPOT Volume
08/12/20,124.370003,124.980003,123.089996,124.379997,123.983818,82225500,286.01001,286.429993,281.549988,283.399994,283.399994,10747700,52.939999,53.48,52.790001,53.18,52.346584,12485800,337,342.920013,330.285004,332.859985,332.859985,1620600
09/12/20,124.529999,125.949997,121,121.779999,121.392097,115089200,283.660004,287.630005,271.75,277.920013,277.920013,25189700,53.369999,53.599998,53,53.330002,52.494232,11508400,337.279999,338.216003,324.535004,332.450012,332.450012,1682200
10/12/20,120.5,123.870003,120.150002,123.239998,122.84745,81312200,275.540009,278.730011,271.859985,277.119995,277.119995,20065100,53.400002,53.509998,52.98,53.049999,52.21862,12097300,329.640015,344.980011,327.070007,343.299988,343.299988,1268900
11/12/20,122.43,122.760002,120.550003,122.410004,122.020096,86939800,274.529999,276.480011,270.25,273.549988,273.549988,14391400,52.799999,53.540001,52.779999,53.349998,52.51392,10638100,342.299988,346.440002,333.570007,341.220001,341.220001,1657600
14/12/20,122.599998,123.349998,121.540001,121.779999,121.392097,79184500,273.369995,277.220001,271.559998,274.190002,274.190002,16376900,53.650002,53.84,53.18,53.27,52.435173,22292000,340.5,341.667999,319.519989,320.339996,320.339996,2117300
15/12/20,124.339996,127.900002,124.129997,127.879997,127.472664,157243700,274.829987,276.079987,267.470001,275.549988,275.549988,23979500,53.790001,54.220001,53.599998,53.84,52.996239,16193700,324.070007,330.820007,320.501007,326.970001,326.970001,2198600
16/12/20,127.410004,128.369995,126.559998,127.809998,127.402893,98208600,274.76001,277.859985,272.51001,275.670013,275.670013,15885000,53.599998,53.799999,52.939999,53.060001,52.228462,15679600,316.519989,323.880005,312.209015,318.529999,318.529999,1574700
17/12/20,128.899994,129.580002,128.039993,128.699997,128.290054,94359800,277.070007,280.440002,273.609985,274.480011,274.480011,16377800,53.299999,53.709999,53.150002,53.27,52.435173,12677300,323.130005,329.890015,319.130005,328.059998,328.059998,960700
18/12/20,128.960007,129.100006,126.120003,126.660004,126.256561,192541500,275.769989,278,271.140015,276.399994,276.399994,26693200,53.080002,53.84,52.619999,53.740002,52.897808,35480100,333.429993,337.200012,330.494995,336.100006,336.100006,1090800
21/12/20,125.019997,128.309998,123.449997,128.229996,127.821548,121251600,272.980011,274.670013,267.790009,272.790009,272.790009,16553700,52.68,53,51.98,52.810001,51.98238,14926600,330.059998,333.5,322.809998,325.570007,325.570007,1076800
22/12/20,131.610001,134.410004,129.649994,131.880005,131.45993,168904800,271.5,271.5,264.630005,267.089996,267.089996,17312900,52.810001,53.18,52.389999,52.759998,51.933163,9689500,328.070007,328.070007,319.420013,321.959991,321.959991,958500
23/12/20,132.160004,132.429993,130.779999,130.960007,130.542862,88223700,266.890015,272.170013,266.230011,268.109985,268.109985,14329000,52.950001,53.389999,52.939999,53.080002,52.24815,7040300,322.149994,335.769989,321.589996,330.790009,330.790009,1131600
24/12/20,131.320007,133.460007,131.100006,131.970001,131.549637,54930100,268.880005,270.399994,266.200012,267.399994,267.399994,6702000,53.02,53.549999,53.02,53.439999,52.602509,3265500,329.809998,336.339996,327.619995,328.390015,328.390015,435800
28/12/20,133.990005,137.339996,133.509995,136.690002,136.254608,124486200,268.73999,277.299988,265.660004,277,277,23299700,53.849998,54.439999,53.73,54.16,53.311226,9020500,331.279999,331.549988,316,317.290009,317.290009,898200
29/12/20,138.050003,138.789993,134.339996,134.869995,134.440399,121047300,276.950012,280.51001,276.279999,276.779999,276.779999,16383000,54.450001,54.490002,54.02,54.130001,53.281696,8320600,320.950012,323.899994,310.549988,318.429993,318.429993,687900
30/12/20,135.580002,135.990005,133.399994,133.720001,133.294067,96452100,277.950012,278.079987,271.709991,271.869995,271.869995,11803800,54.049999,54.630001,54.029999,54.439999,53.586834,8142700,323.470001,323.470001,316.170013,319.350006,319.350006,631500
31/12/20,134.080002,134.740005,131.720001,132.690002,132.267349,99116600,272,277.089996,269.809998,273.160004,273.160004,12900400,54.450001,54.93,54.27,54.84,53.980572,8495000,323.5,323.5,312.470001,314.660004,314.660004,587100
04/01/21,133.520004,133.610001,126.760002,129.410004,128.997803,143301900,274.779999,275,265.200012,268.940002,268.940002,15106100,54.27,54.630001,52.029999,52.759998,51.933163,25611100,317.420013,318.690002,305.51001,311,311,945700
05/01/21,128.889999,131.740005,128.429993,131.009995,130.592697,97664900,268.290009,272.399994,268.209991,270.970001,270.970001,9871600,52.330002,52.619999,52.029999,52.18,51.362255,20323800,309.480011,316.149994,309.079987,313.720001,313.720001,610400
06/01/21,127.720001,131.050003,126.379997,126.599998,126.196747,155088000,262,267.75,260.01001,263.309998,263.309998,24354100,51.970001,52.02,50.189999,50.52,49.728271,38724500,308.160004,323.390015,307.035004,314.23999,314.23999,1024800
07/01/21,128.360001,131.630005,127.860001,130.919998,130.502991,109578200,265.899994,271.609985,264.779999,268.73999,268.73999,15789800,50.09,50.259998,49.52,49.959999,49.177044,53225700,317.440002,332.600006,316.25,331.359985,331.359985,977200
08/01/21,132.429993,132.630005,130.229996,132.050003,131.629379,105158200,268.309998,268.950012,263.179993,267.570007,267.570007,18528300,50.029999,51.130001,49.84,51.080002,50.279495,29674000,335,354.600006,333.290009,353.109985,353.109985,2199700
11/01/21,129.190002,130.169998,128.5,128.979996,128.569168,100384500,260.480011,263.470001,255.899994,256.839996,256.839996,30412300,50.619999,50.860001,49.950001,50.200001,49.413284,19304400,350.059998,354,341.589996,344.070007,344.070007,1105600
12/01/21,128.5,129.690002,126.860001,128.800003,128.38974,91951100,256.630005,259.720001,250.300003,251.089996,251.089996,26383500,50.040001,50.369999,49.759998,50.110001,49.324696,18538700,344,349.779999,341.459991,347.01001,347.01001,829600
13/01/21,128.759995,131.449997,128.490005,130.889999,130.473083,88636800,251.550003,253.949997,249.199997,251.639999,251.639999,19528900,49.98,50.360001,49.950001,50.16,49.373913,18864100,348,370.950012,344.5,347.059998,347.059998,2412100
14/01/21,130.800003,131,128.759995,128.910004,128.499405,90221800,253.399994,255.029999,244.610001,245.639999,245.639999,29739400,50.16,50.18,49.220001,49.23,48.458485,34303600,349.700012,349.700012,339.059998,342.269989,342.269989,853800
15/01/21,128.779999,130.220001,127,127.139999,126.735023,111598500,247.899994,253.860001,247.160004,251.360001,251.360001,24942900,49.16,49.18,48.529999,48.700001,47.936794,24366800,330.720001,334.690002,317.01001,319.820007,319.820007,2352000
19/01/21,127.779999,128.710007,126.940002,127.830002,127.422829,90757300,256.899994,262.200012,252.720001,261.100006,261.100006,28028500,48.740002,49.040001,48.240002,48.509998,47.749767,29114500,320.350006,326.942993,317.070007,319.75,319.75,1252600
20/01/21,128.660004,132.490005,128.550003,132.029999,131.609451,104319500,268.929993,270.320007,263.600006,267.480011,267.480011,25199900,48.540001,48.82,48.310001,48.68,47.917103,23115800,328.829987,338.200012,325.390015,331.410004,331.410004,1044800
21/01/21,133.800003,139.669998,133.589996,136.869995,136.434021,120150900,269.26001,273.600006,267.48999,272.869995,272.869995,20838700,48.779999,49.09,48.459999,48.950001,48.182873,19702500,337.910004,350.25,333.779999,348.299988,348.299988,1641800
22/01/21,136.279999,139.850006,135.020004,139.070007,138.627029,114459400,272.01001,278.470001,272,274.5,274.5,21954000,48.810001,48.939999,48.490002,48.490002,47.730083,15400300,346.269989,348.279999,338.170013,338.959991,338.959991,1083300
25/01/21,143.070007,145.089996,136.539993,142.919998,142.464767,157611700,278.140015,280.100006,271.51001,278.01001,278.01001,19087000,48.419998,48.84,48.240002,48.779999,48.015537,16604200,344,345.049988,326.660004,333.609985,333.609985,1393700
26/01/21,143.600006,144.300003,141.369995,143.160004,142.70401,98390600,278.140015,285.390015,277.809998,282.049988,282.049988,19373600,48.91,49.400002,48.610001,49.290001,48.517544,12922600,337.23999,340.5,332.329987,337.01001,337.01001,818300
27/01/21,143.429993,144.300003,140.410004,142.059998,141.607513,140843800,282.529999,283.450012,268.119995,272.140015,272.140015,35346200,48.889999,49.32,48.23,48.529999,47.769455,21242400,330.75,344.98999,323.589996,330.190002,330.190002,1549000
28/01/21,139.520004,141.990005,136.699997,137.089996,136.653336,142621100,277.179993,286.790009,264.700012,265,265,37758800,48.689999,49.5,48.610001,49.150002,48.379742,17498900,330.179993,331.329987,317.119995,325.440002,325.440002,1532100
29/01/21,135.830002,136.740005,130.210007,131.960007,131.539673,177523800,265.299988,266.559998,254.850006,258.329987,258.329987,30389500,49.029999,49.119999,48.110001,48.150002,47.395412,18670300,328.589996,331.390015,312.829987,315,315,1485500
01/02/21,133.75,135.380005,130.929993,134.139999,133.712723,106239800,259.519989,264.170013,254.910004,262.01001,262.01001,22914300,48.27,48.689999,48.18,48.48,47.720238,12183600,319.450012,332.700012,315.799988,332.649994,332.649994,1186200
